Speaker,Start (min),End (min),Duration (s),Start (s)
speaker0,23:25.675,23:26.008,0.333,1405.675
speaker1,23:26.008,23:28.508,2.500,1406.008
speaker0,23:28.508,23:29.758,1.250,1408.508
speaker1,23:29.758,23:30.008,0.250,1409.758
speaker0,23:30.008,23:32.008,2.000,1410.008
speaker1,23:32.008,23:43.508,11.500,1412.008
speaker0,23:43.508,24:09.008,25.500,1423.508
speaker1,24:09.008,24:13.008,4.000,1449.008
speaker0,24:09.508,24:09.575,0.067,1449.508
speaker0,24:10.008,24:10.358,0.350,1450.008
speaker0,24:12.508,24:13.508,1.000,1452.508
speaker1,24:13.508,24:14.008,0.500,1453.508
speaker0,24:14.008,24:14.508,0.500,1454.008
speaker1,24:14.508,24:15.008,0.500,1454.508
speaker0,24:15.008,24:21.641,6.633,1455.008
speaker0,24:21.992,25:21.241,59.249,1461.992
speaker1,25:21.008,25:22.825,1.817,1521.008
speaker0,25:21.358,25:21.508,0.150,1521.358
speaker0,25:22.325,25:22.508,0.183,1522.325
speaker0,25:22.808,25:23.008,0.200,1522.808
speaker0,25:23.508,25:24.008,0.500,1523.508
speaker1,25:24.008,25:24.508,0.500,1524.008
speaker0,25:24.508,25:27.008,2.500,1524.508
speaker1,25:27.008,25:27.508,0.500,1527.008
speaker0,25:27.508,25:35.008,7.500,1527.508
speaker1,25:32.358,25:32.425,0.067,1532.358
speaker1,25:35.008,25:43.008,8.000,1535.008
speaker0,25:43.008,25:43.508,0.500,1543.008
speaker1,25:43.508,25:52.508,9.000,1543.508
speaker0,25:52.508,25:54.891,2.383,1552.508
speaker0,25:55.008,26:38.008,43.000,1555.008
speaker1,26:38.008,26:55.008,17.000,1598.008
speaker0,26:55.008,27:07.175,12.167,1615.008
speaker0,27:07.842,27:14.058,6.216,1627.842
speaker1,27:14.175,27:15.508,1.333,1634.175
speaker0,27:15.508,27:26.008,10.500,1635.508
speaker1,27:23.942,27:23.975,0.033,1643.942
speaker1,27:26.008,27:36.008,10.000,1646.008
speaker0,27:34.008,27:34.508,0.500,1654.008
speaker0,27:36.008,28:02.508,26.500,1656.008
speaker1,28:02.525,28:05.508,2.983,1682.525
speaker0,28:05.342,28:13.675,8.333,1685.342
speaker1,28:13.325,28:15.008,1.683,1693.325
speaker0,28:14.008,28:14.158,0.150,1694.008
speaker0,28:15.008,28:18.508,3.500,1695.008
speaker1,28:18.508,28:25.508,7.000,1698.508
speaker0,28:25.508,28:33.508,8.000,1705.508
speaker1,28:33.508,28:35.008,1.500,1713.508
speaker0,28:35.008,28:45.508,10.500,1715.008
speaker1,28:45.508,28:57.258,11.750,1725.508
